CODE,MATERIAL_TYPE,NAME,INV_NAME,UNIT_CODE,ADD_SPEC,BHN_SPEC,GROUP_CODE,MAT_CATCODE,MATERIAL_SUBTYPE,DRG_NO,DRG_LOCATION,REF_PARTCODE,CUST_PARTCODE,LOC_CODE,PURH_GLACNO,PURH_SUB_GLACNO,SALE_GLACNO,SALE_SUB_GLACNO,SUPP_SUB_GLACNO,IS_EXCISABLE,EXCISE_TYPE,ABC_TYPE,IS_STKLEVELMAINTAIN,MIN_QTY,MAX_QTY,REORDER_QTY,MINORDER_QTY,PATBOX_WT,RR_WT,CASTING_WT,FINISH_WT,IS_BRANDED,TEST_CODE,COSTCENTER_CODE,CHAPTER_CODE,CHAPTER_NO,OLD_CODE,SALE_AS,REF_CODE,SCRAP_CODE,PART_SIZE,PURT_GLACNO,PURT_SUB_GLACNO,SART_GLACNO,SART_SUB_GLACNO,DRG_REVDATE,RATE,IS_GRNRECONSILATION,MAT_OWNER,CAST_GRADE,SPECIF_NO,CAST_SUB_GRADE,SUB_GRADE_SPEC,DRG_REV_NO,PURCHASE_UNIT,CONVERSION_QTY,MAT_DESPTYPE,MAT_PRODTYPE,IS_WTINPUTINSALES,MOULD_STANDWT,SPECIF_REVISION_NO,SPECIF_REVISION_DATE,TAX_CODE,PERHOUR_RATE,PATTERN_TYPE,CAVITY_NOS,MPLATE_LENGTH,MPLATE_WIDTH,LEAD_DAYS,TOLERANCE,PER_HOUR,IS_FLAG,SYSADD_DATETIME,SYSADD_LOGIN,SYSCHNG_DATETIME,SYSCHNG_LOGIN,STATUS_CODE,SYS_DATE,USER_NAME,DBK_CODE,GST_RATECATEGORY,MAT_WEIGHT,BOX_PER,MAT_RATE,BARCODE_NO,CASTING_RATE,MACHINE_RATE
1010100001,101,ADAPTER CASTING,NULL,"NOS  "," "," ",1010239,NULL,0,NULL,NULL," REV.LEVEL-3-175FS34",NULL,101001,101000362,NULL,101000185,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,78.0000,78.0000,0,2,NULL,1010003,73259920,NULL,101001,NULL,1010300292,NULL,101000362,NULL,101000185,NULL," ",8975.00,0,2,102,NULL,102,CAST STEEL ROUGH CASTING,0,"NOS  ",1.000,1,1,1,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2015040912:03:47,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
1010100008,101,ADJUSTER LH DRG NO 235-70-13261/M,DRG NO 235-70-13261/M,"NOS  ",NULL," ",1010239,NULL,0,NULL,NULL," ",NULL,101001,101000362,NULL,101000191,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,75.0000,71.0000,0,1,NULL,1010004,73259999,NULL,101001,NULL,1010300292,NULL,101000362,NULL,101000191,NULL," ",9500.00,0,2,102,NULL,102,NULL,0,"NOS  ",1.000,0,0,1,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2018112017:00:01,RUPESH,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
1010100009,101,ADJUSTER RH DRG NO 235-70-13271/M,DRG NO 235-70-13271/M,"NOS  ",NULL," ",1010239,NULL,0,NULL,NULL," ",NULL,101001,101000362,NULL,101000191,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,85.0000,80.5000,0,1,NULL,1010004,73259999,NULL,101001,NULL,1010300292,NULL,101000362,NULL,101000191,NULL," ",10300.00,0,2,102,NULL,102,NULL,0,"NOS  ",1.000,0,0,1,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2018112017:00:18,RUPESH,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
1010100012,101,ANCHOR YA-0076,NULL,"NOS  ",NULL," ",1010239,NULL,0,NULL,NULL," ",NULL,101001,101000362,NULL,101000188,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,396.0000,396.0000,0,1,NULL,1010003,73259920,NULL,101001,NULL,1010300001,NULL,101000362,NULL,101000188,NULL," ",27536.00,0,2,103,NULL,133,NULL,0,"NOS  ",1.000,0,0,1,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2015082110:21:03,ANANDA,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
1010100018,101,ARTICULATION STOPPER STEEL CASTING,PART NO.288032403751,"NOS  ",NULL," ",1010239,NULL,0,NULL,NULL," ",NULL,101001,101000396,NULL,101000186,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,6.5000,6.2000,0,0,NULL,1010069,87089900,NULL,101001,NULL,1010300001,NULL,101000396,NULL,101000186,NULL," ",914.00,0,2,103,NULL,133,NULL,0,"NOS  ",1.000,0,0,1,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2018060710:03:50,ADMIN,0,2018120711:23:29,BWAYS,NULL,106,0.000,0,0.00,NULL,0.00,0.00
1010100023,101,ASSY BELL CRANK LEVER FFWD -LH-114,PART NO-503932100114,"NOS  ",NULL," ",1010239,NULL,0,NULL,NULL," ",NULL,101001,101000362,NULL,101000191,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,1,NULL,1010004,73259999,NULL,101001,NULL,1010300292,NULL,101000362,NULL,101000191,NULL," ",1380.00,0,2,101,NULL,101,NULL,0,"NOS  ",1.000,0,0,1,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2015082115:09:18,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
1010100024,101,ASSY BELL CRANK LEVER FFWD -RH-115,PART NO-503932100115,"NOS  ",NULL," ",1010239,NULL,0,NULL,NULL," ",NULL,101001,101000362,NULL,101000191,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,1,NULL,1010004,73259999,NULL,101001,NULL,1010300292,NULL,101000362,NULL,101000191,NULL," ",1380.00,0,2,101,NULL,101,NULL,0,"NOS  ",1.000,0,0,1,0.000,0," ",NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2015082115:09:34,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
1010100052,101,BEARING CAP,DRG NO-91287 PART B,"NOS  ",NULL,NULL,1010239,NULL,0,MATT-1030/I,NULL,,NULL,101001,101000362,NULL,101000188,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,1,NULL,1010003,73259920,NULL,101001,NULL,1010300001,NULL,101000362,NULL,101000188,NULL,,139.80,0,2,102,NULL,102,,0,"NOS  ",1.000,0,0,1,0.000,0,,NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2015040511:54:46,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
1010100055,101,BEARING CAP - 1116,1116,"NOS  ",NULL,NULL,1010239,NULL,0,,NULL,,NULL,101001,101000362,NULL,101000185,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,1,NULL,1010002,73251000,NULL,101001,NULL,1010300292,NULL,101000362,NULL,101000185,NULL,,122.40,0,2,102,NULL,102,,0,"NOS  ",1.000,0,0,1,0.000,0,,NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2015040511:54:46,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
1010100067,101,BEARING CAP LH,04010-22603,"NOS  ",NULL,NULL,1010239,NULL,0,,NULL,,NULL,101001,101000362,NULL,101000192,NULL,NULL,1,1,0,1,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,0.0000,0,1,NULL,1010004,73259999,NULL,101001,NULL,1010300292,NULL,101000362,NULL,101000192,NULL,,78.00,0,2,102,NULL,102,,0,"NOS  ",1.000,0,0,1,0.000,0,,NULL,0.00,NULL,NULL,0.00,0.00,1,0.00,0,0,2015040511:28:46,ADMIN,2015040511:54:46,ADMIN,0,2018120711:23:29,BWAYS,NULL,107,0.000,0,0.00,NULL,0.00,0.00
